model,h,mean_kl,mean_tv,frobenius,note
state_cond,1,0.0,0.0,0.0,h=1: trivial (identity composition)
state_free,1,0.0,0.0,0.0,h=1: trivial (identity composition)
backoff_ck,1,0.0,0.0,0.0,h=1: trivial (identity composition)
state_cond,2,0.09305713328788119,0.16359018036225828,0.3923738638654183,
state_free,2,0.041612132143007734,0.12043717598221255,0.30062999664247164,
backoff_ck,2,0.010629770605921421,0.06374424261184554,0.15017166889536043,
state_cond,5,0.02103384197137543,0.07811920634081958,0.19727554005029277,
state_free,5,0.061405899270077446,0.1448118806609863,0.35279740652390584,
backoff_ck,5,0.0028525216138517175,0.03279331966617048,0.07669813312309734,
state_cond,10,0.06185373969192211,0.1318173743112546,0.3454546450947283,
state_free,10,0.041564034796942775,0.11161983738523631,0.29013301244989703,
backoff_ck,10,9.775882682261943e-05,0.00597987179403363,0.014014943810046924,
