model,h,mean_kl,mean_tv,frobenius,note
state_cond,1,0.0,0.0,0.0,h=1: trivial (identity composition)
state_free,1,0.0,0.0,0.0,h=1: trivial (identity composition)
state_cond,2,0.15861685109418783,0.1954885142261291,0.450983750926702,
state_free,2,0.03192726665479668,0.08972349563394141,0.2319399096308737,
backoff_ck,2,0.010629770605921421,0.06374424261184554,0.15017166889536043,
state_cond,5,0.1468898351284397,0.20435934258368754,0.4685211511666777,
state_free,5,0.03382350419733994,0.09187380553873414,0.23719265316349616,
backoff_ck,5,0.0028525216138517223,0.03279331966617048,0.07669813312309734,
state_cond,10,0.16386249117613536,0.19994803854722593,0.4616498152645579,
state_free,10,0.031678251786156936,0.08781123876386786,0.2281328680297052,
backoff_ck,10,9.77588268226239e-05,0.00597987179403363,0.014014943810046924,
